"2024 VARIABLE NAME","2024 DESCRIPTION","MODULE","DATA SOURCE","2024 TABLE FIELD CALCULATION","CALCULATION DESCRIPTION","NOTES"
"STATEFP10","State-level FIPS code","NO VALUE","NO VALUE","NO VALUE","NO VALUE","NO VALUE"
"STATE","State name","NO VALUE","NO VALUE","NO VALUE","NO VALUE","NO VALUE"
"STATE_ABV","State abbreviation","NO VALUE","NO VALUE","NO VALUE","NO VALUE","NO VALUE"
"ZCTA","ZIP Code Tabulation Area code","NO VALUE","NO VALUE","NO VALUE","NO VALUE","NO VALUE"
"GEOID10","Unique ID combination of State FIPS and ZCTA code","NO VALUE","NO VALUE","NO VALUE","NO VALUE","NO VALUE"
"MULTI_STATE","Indicator of whether a ZCTA spans multiple states","NO VALUE","NO VALUE","NO VALUE","NO VALUE","A value of ""0"" in this field indicates that a ZCTA does not span multiple states. A value of ""1"" in this field indicates that a ZCTA does span multiple states."
"POP","Population estimate, 2015-2019 ACS","NO VALUE","U.S. Census Bureau 5-year ACS 2015-2019","S0601_C01_001E","NO VALUE","NO VALUE"
"PR_HRI","Percentile rank of heat-related EMS activation reported to NEMSIS","Historical Heat and Health Burden","NEMSIS","NO VALUE","NO VALUE","NEMSIS does not share raw data. Therefore, only the percentile rank indicator is available."
"F_HRI","Percentile rank assigned a quartile value of 1 to 4","Historical Heat and Health Burden","HHI","NO VALUE","NO VALUE","NO VALUE"
"LOW_EMS","ZCTA with 10 or fewer EMS activations for 2+ years of data are denoted with a value of 1 those with greater than 10 EMS activations in 2+ year of data are denoted with a value of 0","Historical Heat and Health Burden","NEMSIS","NO VALUE","NO VALUE","NO VALUE"
"P_NEHD","Number of extreme heat days","Historical Heat and Health Burden","NLDAS-2 from the Tracking Network","NO VALUE","Number of days above the 95% of temperatures per ZCTA","NO VALUE"
"PR_NEHD","Percentile rank of number of extreme heat days","Historical Heat and Health Burden","HHI","In R: using the dplyr percent_rank() function on P_NEHD","NO VALUE","NO VALUE"
"HHB_SCORE","Average of percentile ranked historical heat and health burden indicators ","Historical Heat and Health Burden","HHI","(PR_NEHD +
PR_HRI)/n","Where n is the number of non-missing indicators in the module per ZCTA","NO VALUE"
"HHB_RANK","Percentile rank of averaged historical heat and health burden indicators (HHB_SCORE)","Historical Heat and Health Burden","HHI","In R: using the dplyr percent_rank() function on HHB_SCORE","NO VALUE","NO VALUE"
"P_CHD","Crude prevalence of persons (age 18+) with Coronary Heart Disease (CHD)","Sensitivity","CDC PLACES 2023 and 2022 release","Crude prevalence of coronary heart disease among adults aged >= 18 years ","NO VALUE","Florida did not have data from the PLACES 2023 release. Therefore, data from the 2022 release were used where 2023 data were unavailable."
"PR_CHD","Percentile rank of crude prevalence of persons (age 18+) with Coronary Heart Disease (CHD)","Sensitivity","HHI","In R: using the dplyr percent_rank() function on P_CHD","NO VALUE","NO VALUE"
"F_CHD","Flag indicating ZCTA with >= 0.6666 percentile rank for CHD 1 or 0 if not ","Sensitivity","HHI","In R: ifelse(HHI$PR_CHD>= 0.6666,1,0)","NO VALUE","NO VALUE"
"P_OBS","Crude prevalence of persons (age 18+) with Obesity","Sensitivity","CDC PLACES 2023 and 2022 release","Crude prevalence of obesity among adults aged ≥18 years","NO VALUE","Florida did not have data from the PLACES 2023 release. Therefore, data from the 2022 release were used where 2023 data were unavailable."
"PR_OBS","Percentile rank of crude prevalence of persons (age 18+) with Obesity","Sensitivity","HHI","In R: using the dplyr percent_rank() function on P_OBS","NO VALUE","NO VALUE"
"F_OBS","Flag indicating ZCTA with >= 0.6666 percentile rank for Obesity 1 or 0 if not ","Sensitivity","HHI","In R: ifelse(HHI$PR_OBS>= 0.6666,1,0)","NO VALUE","NO VALUE"
"P_DIABETES","Crude prevalence of persons (age 18+) with Diabetes","Sensitivity","CDC PLACES 2023 and 2022 release","Crude prevalence of diagnosed diabetes among adults aged ≥18 years","NO VALUE","Florida did not have data from the PLACES 2023 release. Therefore, data from the 2022 release were used where 2023 data were unavailable."
"PR_DIABETES","Percentile rank of crude prevalence of persons (age 18+) with Diabetes","Sensitivity","HHI","In R: using the dplyr percent_rank() function on P_DIABETES","NO VALUE","NO VALUE"
"F_DIABETES","Flag indicating ZCTA with >= 0.6666 percentile rank for Diabetes 1 or 0 if not ","Sensitivity","HHI","In R: ifelse(HHI$PR_DIABETES>= 0.6666,1,0)","NO VALUE","NO VALUE"
"P_COPD","Crude prevalence of persons (age 18+) with Chronic Obstructive Pulmonary Disease (COPD)","Sensitivity","CDC PLACES 2023 and 2022 release","Crude prevalence of chronic obstructive pulmonary disease among adults aged ≥18 years","NO VALUE","Florida did not have data from the PLACES 2023 release. Therefore, data from the 2022 release were used where 2023 data were unavailable."
"PR_COPD","Percentile rank of crude prevalence of persons (age 18+) with Chronic Obstructive Pulmonary Disease (COPD)","Sensitivity","HHI","In R: using the dplyr percent_rank() function on P_COPD","NO VALUE","NO VALUE"
"F_COPD","Flag indicating ZCTA with >= 0.6666 percentile rank for COPD 1 or 0 if not ","Sensitivity","HHI","In R: ifelse(HHI$PR_COPD>= 0.6666,1,0)","NO VALUE","NO VALUE"
"P_ASTHMA","Crude prevalence of persons (age 18+) with current asthma","Sensitivity","CDC PLACES 2023 and 2022 release","Crude prevalence of current asthma prevalence among adults aged ≥18 years","NO VALUE","Florida did not have data from the PLACES 2023 release. Therefore, data from the 2022 release were used where 2023 data were unavailable."
"PR_ASTHMA","Percentile rank of crude prevalence of persons (age 18+) with current asthma","Sensitivity","HHI","In R: using the dplyr percent_rank() function on P_ASTHMA","NO VALUE","NO VALUE"
